Delegacia;Ano;Natureza;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
087 DP - Vila Pereira Barreto;2022;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;10;0;0;0;0;1;0;0;0;30
087 DP - Vila Pereira Barreto;2022;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;TENTATIVA DE HOMICÍDIO;0;0;10;0;20;0;0;0;0;0;0;1;40
087 DP - Vila Pereira Barreto;2022;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;LESÃO CORPORAL DOLOSA;270;340;340;240;250;27;28;26;26;28;23;28;3300
087 DP - Vila Pereira Barreto;2022;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;30;70;90;90;100;6;15;4;7;6;9;4;890
087 DP - Vila Pereira Barreto;2022;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;0;0;0;0;0;0;1;1;1;0;40
087 DP - Vila Pereira Barreto;2022;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;TOTAL DE ESTUPRO (4);0;10;40;10;10;1;3;3;0;4;2;0;200
087 DP - Vila Pereira Barreto;2022;ESTUPRO;0;0;30;0;10;1;1;0;0;1;1;0;80
087 DP - Vila Pereira Barreto;2022;ESTUPRO DE VULNERÁVEL;0;10;10;10;0;0;2;3;0;3;1;0;120
087 DP - Vila Pereira Barreto;2022;TOTAL DE ROUBO - OUTROS (1);840;710;1170;940;1110;94;107;87;83;85;73;85;1091
087 DP - Vila Pereira Barreto;2022;ROUBO - OUTROS;810;680;1130;920;1100;93;105;85;81;84;68;82;1062
087 DP - Vila Pereira Barreto;2022;ROUBO DE VEÍCULO;200;290;300;210;240;22;29;24;13;16;19;11;2580
087 DP - Vila Pereira Barreto;2022;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
087 DP - Vila Pereira Barreto;2022;ROUBO DE CARGA;30;30;40;20;10;1;2;2;2;1;5;3;290
087 DP - Vila Pereira Barreto;2022;FURTO - OUTROS;1160;1020;1480;1250;1150;121;117;102;111;128;115;123;1423
087 DP - Vila Pereira Barreto;2022;FURTO DE VEÍCULO;280;340;530;440;230;26;44;30;25;26;46;40;4190
032 DP - Itaquera;2025;HOMICÍDIO DOLOSO (2);0;0;10;0;0;;;;;;;;10
032 DP - Itaquera;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;10;0;0;;;;;;;;10
032 DP - Itaquera;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;10;0;;;;;;;;20
032 DP - Itaquera;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;TENTATIVA DE HOMICÍDIO;0;0;10;0;0;;;;;;;;10
032 DP - Itaquera;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;LESÃO CORPORAL DOLOSA;330;340;320;310;470;;;;;;;;1770
032 DP - Itaquera;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;60;60;120;110;120;;;;;;;;470
032 DP - Itaquera;2025;LESÃO CORPORAL CULPOSA - OUTRAS;10;10;10;30;0;;;;;;;;60
032 DP - Itaquera;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;TOTAL DE ESTUPRO (4);10;20;20;20;30;;;;;;;;100
032 DP - Itaquera;2025;ESTUPRO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;ESTUPRO DE VULNERÁVEL;10;20;20;20;30;;;;;;;;100
032 DP - Itaquera;2025;TOTAL DE ROUBO - OUTROS (1);600;530;720;700;510;;;;;;;;3060
032 DP - Itaquera;2025;ROUBO - OUTROS;600;530;720;680;510;;;;;;;;3040
032 DP - Itaquera;2025;ROUBO DE VEÍCULO;100;50;100;60;150;;;;;;;;460
032 DP - Itaquera;2025;ROUBO A BANCO;0;0;0;0;0;;;;;;;;0
032 DP - Itaquera;2025;ROUBO DE CARGA;0;0;0;20;0;;;;;;;;20
032 DP - Itaquera;2025;FURTO - OUTROS;990;1050;1270;1160;990;;;;;;;;5460
032 DP - Itaquera;2025;FURTO DE VEÍCULO;370;260;320;390;520;;;;;;;;1860
032 DP - Itaquera;2024;HOMICÍDIO DOLOSO (2);0;0;0;10;0;0;0;0;0;0;1;0;20
032 DP - Itaquera;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;10;0;0;0;0;0;0;2;0;30
032 DP - Itaquera;2024;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2024;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;10;0;1;1;1;0;0;0;1;50
032 DP - Itaquera;2024;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2024;TENTATIVA DE HOMICÍDIO;10;0;0;0;0;0;0;0;0;0;1;0;20
032 DP - Itaquera;2024;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2024;LESÃO CORPORAL DOLOSA;250;410;350;310;370;33;30;36;44;43;28;30;4130
032 DP - Itaquera;2024;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;50;50;90;120;180;15;11;11;10;10;20;14;1400
032 DP - Itaquera;2024;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;20;0;0;0;1;0;0;0;1;2;60
032 DP - Itaquera;2024;LATROCÍNIO;10;0;0;0;0;0;0;0;1;1;0;0;30
032 DP - Itaquera;2024;Nº DE VÍTIMAS EM LATROCÍNIO;10;0;0;0;0;0;0;0;1;1;0;0;30
032 DP - Itaquera;2024;TOTAL DE ESTUPRO (4);10;20;50;10;20;2;0;2;1;2;4;1;230
032 DP - Itaquera;2024;ESTUPRO;10;10;30;0;0;0;0;0;0;0;1;0;60
032 DP - Itaquera;2024;ESTUPRO DE VULNERÁVEL;0;10;20;10;20;2;0;2;1;2;3;1;170
032 DP - Itaquera;2024;TOTAL DE ROUBO - OUTROS (1);1180;1000;1450;1030;910;91;102;82;68;87;68;83;1138
032 DP - Itaquera;2024;ROUBO - OUTROS;1180;990;1450;1030;910;91;101;81;68;87;68;82;1134
032 DP - Itaquera;2024;ROUBO DE VEÍCULO;130;150;130;150;90;10;12;6;13;13;9;13;1410
032 DP - Itaquera;2024;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2024;ROUBO DE CARGA;0;10;0;0;0;0;1;1;0;0;0;1;40
032 DP - Itaquera;2024;FURTO - OUTROS;710;1040;1490;1260;1390;128;130;95;97;121;114;110;1384
032 DP - Itaquera;2024;FURTO DE VEÍCULO;420;760;690;720;480;35;36;35;38;44;22;24;5410
032 DP - Itaquera;2023;HOMICÍDIO DOLOSO (2);0;0;0;0;10;0;0;0;0;0;0;0;10
032 DP - Itaquera;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;10;0;0;0;0;0;0;0;10
032 DP - Itaquera;2023;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;10;0;0;0;0;0;1;0;20
032 DP - Itaquera;2023;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;TENTATIVA DE HOMICÍDIO;0;0;0;0;10;0;0;1;0;1;2;2;70
032 DP - Itaquera;2023;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;LESÃO CORPORAL DOLOSA;200;260;380;310;340;24;28;30;27;32;35;39;3640
032 DP - Itaquera;2023;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;80;90;80;50;100;10;12;9;8;8;8;10;1050
032 DP - Itaquera;2023;LESÃO CORPORAL CULPOSA - OUTRAS;0;10;10;0;30;1;0;0;0;1;0;1;80
032 DP - Itaquera;2023;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2023;TOTAL DE ESTUPRO (4);10;70;30;10;30;1;4;2;0;2;0;3;270
032 DP - Itaquera;2023;ESTUPRO;0;10;0;0;20;1;2;0;0;0;0;3;90
032 DP - Itaquera;2023;ESTUPRO DE VULNERÁVEL;10;60;30;10;10;0;2;2;0;2;0;0;180
032 DP - Itaquera;2023;TOTAL DE ROUBO - OUTROS (1);830;960;770;580;840;63;66;80;83;100;85;91;9660
032 DP - Itaquera;2023;ROUBO - OUTROS;820;940;770;580;830;62;66;80;80;100;82;90;9540
032 DP - Itaquera;2023;ROUBO DE VEÍCULO;170;150;100;120;130;14;16;11;11;14;16;23;1720
032 DP - Itaquera;2023;ROUBO A BANCO;0;0;0;0;0;1;0;0;0;0;0;0;10
032 DP - Itaquera;2023;ROUBO DE CARGA;10;20;0;0;10;0;0;0;3;0;3;1;110
032 DP - Itaquera;2023;FURTO - OUTROS;1000;830;1220;1190;1210;116;122;137;136;105;93;130;1384
032 DP - Itaquera;2023;FURTO DE VEÍCULO;390;310;350;410;440;34;50;46;38;44;67;49;5180
032 DP - Itaquera;2022;HOMICÍDIO DOLOSO (2);0;10;0;0;0;0;0;0;0;0;0;0;10
032 DP - Itaquera;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;10;0;0;0;0;0;0;0;0;0;0;10
032 DP - Itaquera;2022;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2022;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;0;1;0;1;0;1;40
032 DP - Itaquera;2022;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;1;10
032 DP - Itaquera;2022;TENTATIVA DE HOMICÍDIO;0;0;10;0;10;0;0;0;0;0;0;0;20
032 DP - Itaquera;2022;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2022;LESÃO CORPORAL DOLOSA;340;140;230;220;220;28;28;30;25;28;17;25;2960
032 DP - Itaquera;2022;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;80;90;40;50;70;6;9;8;6;13;3;12;900
032 DP - Itaquera;2022;LESÃO CORPORAL CULPOSA - OUTRAS;0;10;10;20;20;0;0;0;0;2;1;0;90
032 DP - Itaquera;2022;LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;10
032 DP - Itaquera;2022;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;1;0;0;10
032 DP - Itaquera;2022;TOTAL DE ESTUPRO (4);0;0;30;50;20;2;11;2;4;1;1;2;330
032 DP - Itaquera;2022;ESTUPRO;0;0;0;0;0;1;2;0;0;0;0;0;30
032 DP - Itaquera;2022;ESTUPRO DE VULNERÁVEL;0;0;30;50;20;1;9;2;4;1;1;2;300
032 DP - Itaquera;2022;TOTAL DE ROUBO - OUTROS (1);1160;820;1380;1050;1400;79;88;89;68;103;85;115;1208
032 DP - Itaquera;2022;ROUBO - OUTROS;1150;820;1370;1050;1380;78;87;89;67;102;82;115;1197
032 DP - Itaquera;2022;ROUBO DE VEÍCULO;100;150;120;120;180;13;16;14;17;26;15;22;1900
032 DP - Itaquera;2022;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
032 DP - Itaquera;2022;ROUBO DE CARGA;10;0;10;0;20;1;1;0;1;1;3;0;110
032 DP - Itaquera;2022;FURTO - OUTROS;1030;920;1630;1740;1780;126;130;151;127;141;140;118;1643
032 DP - Itaquera;2022;FURTO DE VEÍCULO;380;370;440;320;440;37;40;39;48;46;54;37;4960
043 DP - Cidade Ademar;2025;HOMICÍDIO DOLOSO (2);10;0;0;0;0;;;;;;;;10
043 DP - Cidade Ademar;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);10;0;0;0;0;;;;;;;;10
043 DP - Cidade Ademar;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;TENTATIVA DE HOMICÍDIO;0;0;10;0;0;;;;;;;;10
043 DP - Cidade Ademar;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;10;0;0;;;;;;;;10
043 DP - Cidade Ademar;2025;LESÃO CORPORAL DOLOSA;210;350;350;170;200;;;;;;;;1280
043 DP - Cidade Ademar;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;120;60;90;60;30;;;;;;;;360
043 DP - Cidade Ademar;2025;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;0;10;0;;;;;;;;20
043 DP - Cidade Ademar;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;TOTAL DE ESTUPRO (4);10;10;50;20;20;;;;;;;;110
043 DP - Cidade Ademar;2025;ESTUPRO;0;10;0;10;10;;;;;;;;30
043 DP - Cidade Ademar;2025;ESTUPRO DE VULNERÁVEL;10;0;50;10;10;;;;;;;;80
043 DP - Cidade Ademar;2025;TOTAL DE ROUBO - OUTROS (1);420;320;400;480;610;;;;;;;;2230
043 DP - Cidade Ademar;2025;ROUBO - OUTROS;410;320;390;480;610;;;;;;;;2210
043 DP - Cidade Ademar;2025;ROUBO DE VEÍCULO;40;20;80;60;70;;;;;;;;270
043 DP - Cidade Ademar;2025;ROUBO A BANCO;0;0;0;0;0;;;;;;;;0
043 DP - Cidade Ademar;2025;ROUBO DE CARGA;10;0;10;0;0;;;;;;;;20
043 DP - Cidade Ademar;2025;FURTO - OUTROS;1100;740;690;850;830;;;;;;;;4210
043 DP - Cidade Ademar;2025;FURTO DE VEÍCULO;90;90;130;150;130;;;;;;;;590
043 DP - Cidade Ademar;2024;HOMICÍDIO DOLOSO (2);0;0;10;0;0;0;1;0;0;0;0;0;20
043 DP - Cidade Ademar;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;10;0;0;0;1;0;0;0;0;0;20
043 DP - Cidade Ademar;2024;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;0;0;1;2;0;0;1;0;1;60
043 DP - Cidade Ademar;2024;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;TENTATIVA DE HOMICÍDIO;0;10;0;10;10;0;0;1;0;0;0;0;40
043 DP - Cidade Ademar;2024;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;LESÃO CORPORAL DOLOSA;310;270;290;160;250;26;21;22;28;19;22;28;2940
043 DP - Cidade Ademar;2024;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;80;50;60;140;130;7;9;12;12;8;13;11;1180
043 DP - Cidade Ademar;2024;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;0;0;0;0;0;0;0;0;0;2;30
043 DP - Cidade Ademar;2024;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;TOTAL DE ESTUPRO (4);20;50;0;0;20;1;2;1;4;3;0;2;220
043 DP - Cidade Ademar;2024;ESTUPRO;0;0;0;0;0;0;0;0;1;1;0;0;20
043 DP - Cidade Ademar;2024;ESTUPRO DE VULNERÁVEL;20;50;0;0;20;1;2;1;3;2;0;2;200
043 DP - Cidade Ademar;2024;TOTAL DE ROUBO - OUTROS (1);640;460;540;630;670;58;70;42;59;59;52;63;6970
043 DP - Cidade Ademar;2024;ROUBO - OUTROS;640;460;540;630;660;57;69;40;59;58;51;62;6890
043 DP - Cidade Ademar;2024;ROUBO DE VEÍCULO;120;60;60;50;70;6;4;6;8;17;3;14;940
043 DP - Cidade Ademar;2024;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2024;ROUBO DE CARGA;0;0;0;0;10;1;1;2;0;1;1;1;80
043 DP - Cidade Ademar;2024;FURTO - OUTROS;730;810;1060;730;850;83;59;75;104;89;83;78;9890
043 DP - Cidade Ademar;2024;FURTO DE VEÍCULO;60;140;190;130;160;25;13;17;13;21;19;13;1890
043 DP - Cidade Ademar;2023;HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;1;0;0;0;0;0;10
043 DP - Cidade Ademar;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;1;0;0;0;0;0;10
043 DP - Cidade Ademar;2023;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;10;10;0;0;0;0;1;1;0;50
043 DP - Cidade Ademar;2023;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;TENTATIVA DE HOMICÍDIO;0;0;10;10;0;0;0;0;0;2;0;0;40
043 DP - Cidade Ademar;2023;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;LESÃO CORPORAL DOLOSA;200;260;250;260;360;25;20;17;29;20;20;24;2880
043 DP - Cidade Ademar;2023;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;80;80;90;110;30;6;7;5;3;3;7;4;740
043 DP - Cidade Ademar;2023;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;0;0;0;0;0;1;1;20
043 DP - Cidade Ademar;2023;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;TOTAL DE ESTUPRO (4);40;50;20;30;0;1;1;0;2;4;2;3;270
043 DP - Cidade Ademar;2023;ESTUPRO;10;0;0;10;0;0;0;0;0;1;0;1;40
043 DP - Cidade Ademar;2023;ESTUPRO DE VULNERÁVEL;30;50;20;20;0;1;1;0;2;3;2;2;230
043 DP - Cidade Ademar;2023;TOTAL DE ROUBO - OUTROS (1);790;720;850;940;760;62;95;78;68;67;55;51;8820
043 DP - Cidade Ademar;2023;ROUBO - OUTROS;790;710;840;940;760;62;93;78;68;64;55;51;8750
043 DP - Cidade Ademar;2023;ROUBO DE VEÍCULO;170;140;210;180;160;6;12;9;8;7;8;19;1550
043 DP - Cidade Ademar;2023;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2023;ROUBO DE CARGA;0;10;10;0;0;0;2;0;0;3;0;0;70
043 DP - Cidade Ademar;2023;FURTO - OUTROS;670;870;1090;860;970;82;72;67;76;55;60;73;9310
043 DP - Cidade Ademar;2023;FURTO DE VEÍCULO;120;120;100;100;140;10;11;15;18;10;7;6;1350
043 DP - Cidade Ademar;2022;HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;2;1;0;30
043 DP - Cidade Ademar;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;2;1;0;30
043 DP - Cidade Ademar;2022;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;10;1;0;1;1;1;0;0;50
043 DP - Cidade Ademar;2022;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;TENTATIVA DE HOMICÍDIO;0;10;10;10;0;1;0;0;0;1;2;0;70
043 DP - Cidade Ademar;2022;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;1;0;0;0;0;0;0;10
043 DP - Cidade Ademar;2022;LESÃO CORPORAL DOLOSA;150;150;200;250;240;22;20;27;19;30;25;18;2600
043 DP - Cidade Ademar;2022;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;40;40;60;70;70;8;5;9;6;7;6;12;810
043 DP - Cidade Ademar;2022;LESÃO CORPORAL CULPOSA - OUTRAS;0;10;0;0;0;2;0;1;0;1;0;0;50
043 DP - Cidade Ademar;2022;LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;TOTAL DE ESTUPRO (4);0;10;10;20;30;1;1;1;1;1;0;1;130
043 DP - Cidade Ademar;2022;ESTUPRO;0;0;0;10;10;1;0;0;0;0;0;1;40
043 DP - Cidade Ademar;2022;ESTUPRO DE VULNERÁVEL;0;10;10;10;20;0;1;1;1;1;0;0;90
043 DP - Cidade Ademar;2022;TOTAL DE ROUBO - OUTROS (1);1050;710;1170;1300;1050;93;85;93;98;85;93;128;1203
043 DP - Cidade Ademar;2022;ROUBO - OUTROS;1050;710;1170;1290;1040;93;85;93;98;84;93;127;1199
043 DP - Cidade Ademar;2022;ROUBO DE VEÍCULO;110;100;150;230;140;16;17;11;14;25;27;33;2160
043 DP - Cidade Ademar;2022;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
043 DP - Cidade Ademar;2022;ROUBO DE CARGA;0;0;0;10;10;0;0;0;0;1;0;1;40
043 DP - Cidade Ademar;2022;FURTO - OUTROS;800;610;790;870;780;70;70;104;106;83;103;96;1017
043 DP - Cidade Ademar;2022;FURTO DE VEÍCULO;120;60;90;100;140;6;10;9;12;11;14;17;1300
039 DP - Vila Gustavo;2025;HOMICÍDIO DOLOSO (2);0;0;0;0;20;;;;;;;;20
039 DP - Vila Gustavo;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;20;;;;;;;;20
039 DP - Vila Gustavo;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;0;10;;;;;;;;20
039 DP - Vila Gustavo;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;TENTATIVA DE HOMICÍDIO;10;10;10;20;10;;;;;;;;60
039 DP - Vila Gustavo;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;LESÃO CORPORAL DOLOSA;350;470;530;400;310;;;;;;;;2060
039 DP - Vila Gustavo;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;140;60;140;150;150;;;;;;;;640
039 DP - Vila Gustavo;2025;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
039 DP - Vila Gustavo;2025;TOTAL DE ESTUPRO (4);0;40;40;50;20;;;;;;;;150
039 DP - Vila Gustavo;2025;ESTUPRO;0;20;0;40;0;;;;;;;;60
039 DP - Vila Gustavo;2025;ESTUPRO DE VULNERÁVEL;0;20;40;10;20;;;;;;;;90
039 DP - Vila Gustavo;2025;TOTAL DE ROUBO - OUTROS (1);490;400;450;500;510;;;;;;;;2350
039 DP - Vila Gustavo;2025;ROUBO - OUTROS;490;400;440;500;510;;;;;;;;2340
039 DP - Vila Gustavo;2025;ROUBO DE VEÍCULO;30;30;10;20;10;;;;;;;;100
